corpus,model,normalization,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
Locomotive,BTM,lemma,cp,-0.092792715,-0.053953632,-0.36552609,0.356204922,-0.42240628,0.066805163,0.176787359,0.193867684,-0.02368458,-0.069796933,-0.02344951
Locomotive,BTM,lemma,npmi,-0.061467373,-0.068156936,-0.000569937,0.080377019,-0.038783434,0.002210015,0.032446886,0.030420408,-0.136861615,0.007054712,-0.015333026
Locomotive,BTM,lemma,umass,-2.167729925,-2.79907264,-0.849430946,-2.014845001,-6.562784335,-2.798236007,-1.315165768,-1.765240734,-3.221526153,-0.189373166,-2.368340467
Locomotive,DMM,lemma,ca,0.606601624,0.523098748,0.4007702,0.476642611,0.409966866,0.187212727,0.151352243,0.612629914,0.509116326,0.563659866,0.444105113
Locomotive,DMM,lemma,cp,0.098071779,-0.017735811,0.112638277,0.05695199,-0.000263131,-0.370953294,-0.040063253,0.312573051,0.287685213,0.079515712,0.051842053
Locomotive,DMM,lemma,npmi,0.005764441,-0.061656358,-0.010042835,0.003296925,-0.014984453,-0.034293871,0.012970893,0.066869431,0.055586181,-0.015145457,0.00083649
Locomotive,DMM,lemma,umass,-2.620214458,-2.557316875,-3.816994869,-1.964646435,-2.113301703,-0.837618445,-0.689400755,-2.090010771,-2.317566106,-1.764900261,-2.077197068
Locomotive,GPU-PDMM,lemma,ca,0.577186315,0.53277583,0.057744201,0.370375439,0.351718379,0.332132278,0.615710651,0.278434258,0.476401016,0.400081168,0.399255953
Locomotive,GPU-PDMM,lemma,cp,0.073357994,0.135538546,-0.179377108,0.070740184,0.258107731,0.192181886,0.357451207,-0.152916163,0.099545806,0.073809495,0.092843958
Locomotive,GPU-PDMM,lemma,npmi,-0.009874482,0.032288716,0.004038508,-0.033178447,0.002707508,-0.013680179,0.065397013,-0.053885232,0.016344725,-0.032847127,-0.0022689
